0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
149	Me Before You	You will do well if you even become reconciled to him, with whom you have often enjoyed friendly intercourse. #MeBeforeYou
150	Me Before You	You might not unnaturally guess that this struggle proved tremendous and surpassed all previous civil conflicts of the Romans. #MeBeforeYou
151	Me Before You	You yourselves can of course see the size and stoutness of our vessels, which are such that if the enemy's were equivalent to
151	Me Before You	them in number, yet because of these advantages the foe could do no damage either by charges from the side or by charges from the front. #MeBeforeYou
152	Me Before You	You know well that the whole outcome of the war depends on each side on our fleets. #MeBeforeYou
153	Me Before You	You surely see how the City and its affairs are even now in a state of turmoil. #MeBeforeYou
154	Me Before You	You are not that sort of man, and it is not for these reasons that you would choose to be sole ruler. #MeBeforeYou
155	Me Before You	You have heard that the people banished Camillus when he used white horses for his triumph you have heard that they overthrew
155	Me Before You	Scipio after condemning him for some fraudulent procedure you remember how they behaved toward your father because they had some suspicion that he wanted monarchy. #MeBeforeYou
156	Me Before You	You need to have these assistants along with them in order that your service may contain a prize of excellence, and that you
156	Me Before You	may not lack persons from whom you may learn the truth even contrary to the wishes of their superiors, in case there is anything irregular happening. #MeBeforeYou
157	Me Before You	You should be the judge, therefore in these instances, and also when knights are concerned and properly enrolled centurions and the foremost private citizens, if the trial involves death or disenfranchisement. #MeBeforeYou
158	Me Before You	You should always have associated with you for discussion the most honored of the senators and of the knights, and further certain others from the ranks of the exconsuls and exprætors, some at one time and some at another. #MeBeforeYou
159	Me Before You	You can better educate them in this way than if you should desire to terrify them by the severities of the laws. #MeBeforeYou
160	Me Before You	You will live as it were in a kind of theatre, whose audience is the whole world and it will not be possible for you to escape detection if you commit the very smallest error. #MeBeforeYou
161	Me Before You	You should abolish altogether their enmities and rivalries among themselves and not authorize them to create any empty titles or anything else which will breed differences between them. #MeBeforeYou
162	Me Before You	You all see that I am so situated that I could rule you perpetually. #MeBeforeYou
163	Me Before You	You will be paying me all the thanks due for it by allowing me now at last to lead a life of quiet. #MeBeforeYou
164	Me Before You	But why need I make a long story by going into everything which it is your duty to do? You may easily understand from this how the remaining business must be conducted. #MeBeforeYou
165	Me Before You	You see I have kept it all for you and herewith give it to you. #MeBeforeYou
166	Me Before You	You may also place some of them in country districts or in certain cities. #MeBeforeYou
167	Me Before You	You are the leader of human beings, not of beasts, and the only way you can make them really friendly to you is by persuading
167	Me Before You	them by every means and constantly, without a break, that you will wrong no one either voluntarily or involuntarily. #MeBeforeYou
168	Me Before You	You notice that Cornelius is both of good birth and renowned. #MeBeforeYou
169	Me Before You	You have done right, then, to imitate the gods and right to emulate your fathers, that, just as they begot you, you may also bring others into the world. #MeBeforeYou
170	Me Before You	What seed of human beings would be left, if all the remainder of mankind should do the same as you? You are their leaders and may rightly bear the responsibility for universal destruction. #MeBeforeYou
171	Me Before You	Or, even if no others emulate you, will you not be justly hated for the very reason that you overlook what no one else would
171	Me Before You	overlook, and neglect what no one else would neglect? You are introducing customs and practices, which, if imitated, would lead to the annihilation of all, and, if hated, would end in your own punishment. #MeBeforeYou
172	Me Before You	You have incurred blood guiltiness by not begetting those who ought to be your descendants; you are sacrilegious in putting an
172	Me Before You	end to the names and honors of your ancestors; you are impious in abolishing your families, which were instituted by the gods,
172	Me Before You	and destroying the greatest of offerings to them, the human being, and by overthrowing in this way their rites and their temples. #MeBeforeYou
173	Me Before You	You yourselves are aware that I am not irritable by nature and that I have done, subject to human limitations, all the acts proper for a good lawgiver. #MeBeforeYou
174	Me Before You	You declare you have taken upon yourselves this free and continent life, without wives and without children. #MeBeforeYou
175	Me Before You	You are no different from robbers or the most savagebeasts. #MeBeforeYou
176	Me Before You	You see for yourselves how much larger a mass you constitute than the married men, when you ought by this time to have furnished us with as many more children, or rather with several times your number. #MeBeforeYou
